time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
4663553,0.0,0.0,0.0,0.0,0.0,0.0
53861492,0.0,0.0,0.0,0.0,0.0,0.0
104101948,0.0,0.0,0.0,0.0,0.0,0.0
153535035,0.0,0.0,0.0,0.0,0.0,0.0
206406620,0.0,0.0,0.0,0.0,0.0,0.0
253709189,0.0,0.0,0.0,0.0,0.0,0.0
305391349,0.0,0.0,0.0,0.0,0.0,0.0
353459769,0.0,0.0,0.0,0.0,0.0,0.0
406557984,0.0,0.0,0.0,0.0,0.0,0.0
453402868,0.0,0.0,0.0,0.0,0.0,0.0
503377566,0.0,0.0,0.0,0.0,0.0,0.0
559335705,0.0,0.0,0.0,0.0,0.0,0.0
608137255,0.0,0.0,0.0,0.0,0.0,0.0
660536192,0.0,0.0,0.0,0.0,0.0,0.0
704381967,0.0,0.0,0.0,0.0,0.0,0.0
754699239,0.0,0.0,0.0,0.0,0.0,0.0
807934546,0.0,0.0,0.0,0.0,0.0,0.0
855044134,0.0,0.0,0.0,0.0,0.0,0.0
903486203,0.0,0.0,0.0,0.0,0.0,0.0
953567382,0.0,0.0,0.0,0.0,0.0,0.0
1006320911,0.0,0.0,0.0,0.0,0.0,0.0
1053488036,0.0,0.0,0.0,0.0,0.0,0.0
1106309548,0.0,0.0,0.0,0.0,0.0,0.0
1154295450,0.0,0.0,0.0,0.0,0.0,0.0
1204367740,0.0,0.0,0.0,0.0,0.0,0.0
1257517992,0.0,0.0,0.0,0.0,0.0,0.0
1303726803,0.0,0.0,0.0,0.0,0.0,0.0
1355096462,0.0,0.0,0.0,0.0,0.0,0.0
1403482791,0.0,0.0,0.0,0.0,0.0,0.0
1454190025,0.0,0.0,0.0,0.0,0.0,0.0
1505188945,0.0,0.0,0.0,0.0,0.0,0.0
1554034106,0.0,0.0,0.0,0.0,0.0,0.0
1605148174,0.0,0.0,0.0,0.0,0.0,0.0
1653433576,0.0,0.0,0.0,0.0,0.0,0.0
1705895439,0.0,0.0,0.0,0.0,0.0,0.0
1758118007,0.0,0.0,0.0,0.0,0.0,0.0
1803504392,0.0,0.0,0.0,0.0,0.0,0.0
1854203256,0.0,0.0,0.0,0.0,0.0,0.0
1903551917,0.0,0.0,0.0,0.0,0.0,0.0
1953546708,0.0,0.0,0.0,0.0,0.0,0.0
2005611812,0.0,0.0,0.0,0.0,0.0,0.0
2053465918,0.0,0.0,0.0,0.0,0.0,0.0
2104567930,0.0,0.0,0.0,0.0,0.0,0.0
2153919795,0.0,0.0,0.0,0.0,0.0,0.0
2207406269,0.0,0.0,0.0,0.0,0.0,0.0
2253451339,0.0,0.0,0.0,0.0,0.0,0.0
2303462204,0.0,0.0,0.0,0.0,0.0,0.0
2355227882,0.0,0.0,0.0,0.0,0.0,0.0
2404171877,0.0,0.0,0.0,0.0,0.0,0.0
2454168205,0.0,0.0,0.0,0.0,0.0,0.0
2509011752,0.0,0.0,0.0,0.0,0.0,0.0
2553455990,0.0,0.0,0.0,0.0,0.0,0.0
2604346113,0.0,0.0,0.0,0.0,0.0,0.0
2653843941,0.0,0.0,0.0,0.0,0.0,0.0
2704956787,0.0,0.0,0.0,0.0,0.0,0.0
2753448875,0.0,0.0,0.0,0.0,0.0,0.0
2803563184,0.0,0.0,0.0,0.0,0.0,0.0
2855658307,0.0,0.0,0.0,0.0,0.0,0.0
2903886746,0.0,0.0,0.0,0.0,0.0,0.0
2956596758,0.0,0.0,0.0,0.0,0.0,0.0
3003378550,0.0,0.0,0.0,0.0,0.0,0.0
3054933618,0.0,0.0,0.0,0.0,0.0,0.0
3104847149,0.0,0.0,0.0,0.0,0.0,0.0
3153422774,0.0,0.0,0.0,0.0,0.0,0.0
3205197360,0.0,0.0,0.0,0.0,0.0,0.0
3253474022,0.0,0.0,0.0,0.0,0.0,0.0
3305258163,0.0,0.0,0.0,0.0,0.0,0.0
3356063954,0.0,0.0,0.0,0.0,0.0,0.0
3403458060,0.0,0.0,0.0,0.0,0.0,0.0
3456853053,0.0,0.0,0.0,0.0,0.0,0.0
3503574883,0.0,0.0,0.0,0.0,0.0,0.0
3556076654,0.0,0.0,0.0,0.0,0.0,0.0
3603470316,0.0,0.0,0.0,0.0,0.0,0.0
3653440236,0.0,0.0,0.0,0.0,0.0,0.0
3705911952,0.0,0.0,0.0,0.0,0.0,0.0
3753346318,0.0,0.0,0.0,0.0,0.0,0.0
3805866589,-0.0,0.0,2.0,0.0,0.0,0.0
3853525103,-0.0,0.0,2.0,0.0,0.0,0.0
3903574116,-0.0,0.0,2.0,0.0,0.0,0.0
3955353721,-0.0,0.0,2.0,0.0,0.0,0.0
4003491235,-0.0,0.0,2.0,0.0,0.0,0.0
4057045358,-0.0,0.0,2.0,0.0,0.0,0.0
4104827538,7.2,0.0,1.0,0.0,0.0,0.0
4153439737,7.2,0.0,1.0,0.0,0.0,0.0
4205839823,7.2,0.0,1.0,0.0,0.0,0.0
4257424743,7.2,0.0,1.0,0.0,0.0,0.0
4306050275,7.2,0.0,1.0,0.0,0.0,0.0
4353713437,7.2,0.0,1.0,0.0,0.0,0.0
4405055005,7.2,0.0,1.0,0.0,0.0,0.0
4455601277,7.2,0.0,1.0,0.0,0.0,0.0
4503550218,7.2,0.0,1.0,0.0,0.0,0.0
4554385934,7.2,0.0,1.0,0.0,0.0,0.0
4603496225,7.2,0.0,1.0,0.0,0.0,0.0
4655544978,7.2,0.0,1.0,0.0,0.0,0.0
4703466641,7.2,0.0,1.0,0.0,0.0,0.0
4753484173,7.2,0.0,1.0,0.0,0.0,0.0
4804143945,7.2,0.0,1.0,0.0,0.0,0.0
4853520254,7.2,0.0,1.0,0.0,0.0,0.0
4907714192,7.2,0.0,1.0,0.0,0.0,0.0
4954694595,7.2,0.0,1.0,0.0,0.0,0.0
5005453756,7.2,0.0,1.0,0.0,0.0,0.0
5055007936,7.2,0.0,1.0,0.0,0.0,0.0
5103608802,7.2,0.0,1.0,0.0,0.0,0.0
5155367907,7.2,0.0,1.0,0.0,0.0,0.0
5203956588,7.2,0.0,1.0,0.0,0.0,0.0
5253766471,7.2,0.0,1.0,0.0,0.0,0.0
5304685447,7.2,0.0,1.0,0.0,0.0,0.0
5353460553,7.2,0.0,1.0,0.0,0.0,0.0
5404339344,7.2,0.0,1.0,0.0,0.0,0.0
5453476228,7.2,0.0,1.0,0.0,0.0,0.0
5503740149,7.2,0.0,1.0,0.0,0.0,0.0
5554433125,7.2,0.0,1.0,0.0,0.0,0.0
5606327063,7.2,0.0,1.0,0.0,0.0,0.0
5653908615,7.2,0.0,1.0,0.0,0.0,0.0
5706236738,7.2,0.0,1.0,0.0,0.0,0.0
5753958716,7.2,0.0,1.0,0.0,0.0,0.0
5805114062,7.2,0.0,1.0,0.0,0.0,0.0
5853695057,7.2,0.0,1.0,0.0,0.0,0.0
5903896848,7.2,0.0,1.0,0.0,0.0,0.0
5954398213,7.2,0.0,1.0,0.0,0.0,0.0
6003893857,7.2,0.0,1.0,0.0,0.0,0.0
6054000222,7.2,0.0,1.0,0.0,0.0,0.0
6104504050,7.2,0.0,1.0,0.0,0.0,0.0
6153682212,7.2,0.0,1.0,0.0,0.0,0.0
6207068946,7.2,0.0,1.0,0.0,0.0,0.0
6253496868,7.2,0.0,1.0,0.0,0.0,0.0
6305919751,7.2,0.0,1.0,0.0,0.0,0.0
6353946469,7.2,0.0,1.0,0.0,0.0,0.0
6403590112,7.2,0.0,1.0,0.0,0.0,0.0
6456923235,7.2,0.0,1.0,0.0,0.0,0.0
6504097083,7.2,0.0,1.0,0.0,0.0,0.0
6553574134,7.2,0.0,1.0,0.0,0.0,0.0
6604593351,7.2,0.0,1.0,0.0,0.0,0.0
6657212456,-0.0,0.0,2.0,0.0,0.0,0.0
6703479730,-0.0,0.0,2.0,0.0,0.0,0.0
6756823724,-0.0,0.0,2.0,0.0,0.0,0.0
6803392647,-0.0,0.0,2.0,0.0,0.0,0.0
6854345678,-0.0,0.0,2.0,0.0,0.0,0.0
6903480192,-0.0,0.0,2.0,0.0,0.0,0.0
6953821539,-0.0,0.0,2.0,0.0,0.0,0.0
7006390107,-0.0,0.0,2.0,0.0,0.0,0.0
7053494529,-0.0,0.0,2.0,0.0,0.0,0.0
7106245838,-0.0,0.0,2.0,0.0,0.0,0.0
7153700815,-0.0,0.0,2.0,0.0,0.0,0.0
7204162996,-0.0,0.0,2.0,0.0,0.0,0.0
7253817417,7.0,0.0,1.0,0.0,0.0,0.0
7304015578,7.0,0.0,1.0,0.0,0.0,0.0
7353680962,7.0,0.0,1.0,0.0,0.0,0.0
7404995309,7.0,0.0,1.0,0.0,0.0,0.0
7461365727,7.0,0.0,1.0,0.0,0.0,0.0
7503380633,7.0,0.0,1.0,0.0,0.0,0.0
7559033737,7.0,0.0,1.0,0.0,0.0,0.0
7603483716,7.0,0.0,1.0,0.0,0.0,0.0
7653766933,7.0,0.0,1.0,0.0,0.0,0.0
7705472076,7.0,0.0,1.0,0.0,0.0,0.0
7753472165,7.0,0.0,1.0,0.0,0.0,0.0
7806371455,7.0,0.0,1.0,0.0,0.0,0.0
7853859618,7.0,0.0,1.0,0.0,0.0,0.0
7904328669,7.0,0.0,1.0,0.0,0.0,0.0
7953411664,7.0,0.0,1.0,0.0,0.0,0.0
8003604734,7.0,0.0,1.0,0.0,0.0,0.0
8057767208,7.0,0.0,1.0,0.0,0.0,0.0
8103467335,7.0,0.0,1.0,0.0,0.0,0.0
8159336883,7.0,0.0,1.0,0.0,0.0,0.0
8203524326,7.0,0.0,1.0,0.0,0.0,0.0
8257170801,7.0,0.0,1.0,0.0,0.0,0.0
8303862353,7.0,0.0,1.0,0.0,0.0,0.0
8353697163,7.0,0.0,1.0,0.0,0.0,0.0
8405080435,7.0,0.0,1.0,0.0,0.0,0.0
8453488987,7.0,0.0,1.0,0.0,0.0,0.0
8504031538,7.0,0.0,1.0,0.0,0.0,0.0
8553465682,7.0,0.0,1.0,0.0,0.0,0.0
8604797436,7.0,0.0,1.0,0.0,0.0,0.0
8654218394,7.0,0.0,1.0,0.0,0.0,0.0
8704494001,7.0,0.0,1.0,0.0,0.0,0.0
8755903088,7.0,0.0,1.0,0.0,0.0,0.0
8803874510,7.0,0.0,1.0,0.0,0.0,0.0
8856560764,7.0,0.0,1.0,0.0,0.0,0.0
8903937242,7.0,0.0,1.0,0.0,0.0,0.0
8954930052,7.0,0.0,1.0,0.0,0.0,0.0
9005261084,7.0,0.0,1.0,0.0,0.0,0.0
9057371764,7.0,0.0,1.0,0.0,0.0,0.0
9106692574,7.0,0.0,1.0,0.0,0.0,0.0
9156075014,7.0,0.0,1.0,0.0,0.0,0.0
9204179473,7.0,0.0,1.0,0.0,0.0,0.0
9254577006,7.0,0.0,1.0,0.0,0.0,0.0
9306752167,7.0,0.0,1.0,0.0,0.0,0.0
9353511497,7.0,0.0,1.0,0.0,0.0,0.0
9412329322,7.0,0.0,1.0,0.0,0.0,0.0
9458639449,7.0,0.0,1.0,0.0,0.0,0.0
9506250019,7.0,0.0,1.0,0.0,0.0,0.0
9554853479,7.0,0.0,1.0,0.0,0.0,0.0
9606769603,7.0,0.0,1.0,0.0,0.0,0.0
9654103303,7.0,0.0,1.0,0.0,0.0,0.0
9708991871,7.0,0.0,1.0,0.0,0.0,0.0
9753495832,7.0,0.0,1.0,0.0,0.0,0.0
9806981715,7.0,0.0,1.0,0.0,0.0,0.0
9855096248,7.0,0.0,1.0,0.0,0.0,0.0
9904724596,7.0,0.0,1.0,0.0,0.0,0.0
9957249109,7.0,0.0,1.0,0.0,0.0,0.0
10003474217,7.0,0.0,1.0,0.0,0.0,0.0
10056979119,7.0,0.0,1.0,0.0,0.0,0.0
10107032133,7.0,0.0,1.0,0.0,0.0,0.0
10158005498,7.0,0.0,1.0,0.0,0.0,0.0
10204630755,7.0,0.0,1.0,0.0,0.0,0.0
10255010361,7.0,0.0,1.0,0.0,0.0,0.0
10306120412,7.0,0.0,1.0,0.0,0.0,0.0
10353782334,7.0,0.0,1.0,0.0,0.0,0.0
10407112032,7.0,0.0,1.0,0.0,0.0,0.0
10455780306,7.0,0.0,1.0,0.0,0.0,0.0
10503463303,7.0,0.0,1.0,0.0,0.0,0.0
10556327927,7.0,0.0,1.0,0.0,0.0,0.0
10603654313,7.0,0.0,1.0,0.0,0.0,0.0
10654549994,7.0,0.0,1.0,0.0,0.0,0.0
10703911860,7.0,0.0,1.0,0.0,0.0,0.0
10756778021,7.0,0.0,1.0,0.0,0.0,0.0
10803443981,7.0,0.0,1.0,0.0,0.0,0.0
10855284939,7.0,0.0,1.0,0.0,0.0,0.0
10904925102,7.0,0.0,1.0,0.0,0.0,0.0
10955223523,7.0,0.0,1.0,0.0,0.0,0.0
11006148148,7.0,0.0,1.0,0.0,0.0,0.0
11060883235,7.0,0.0,1.0,0.0,0.0,0.0
11107216473,7.0,0.0,1.0,0.0,0.0,0.0
11154524359,7.0,0.0,1.0,0.0,0.0,0.0
11206370761,7.0,0.0,1.0,0.0,0.0,0.0
11256045090,7.0,0.0,1.0,0.0,0.0,0.0
11303932161,7.0,0.0,1.0,0.0,0.0,0.0
11355419786,7.0,0.0,1.0,0.0,0.0,0.0
11403473616,-0.0,0.0,2.0,0.0,0.0,0.0
11454831944,-0.0,0.0,2.0,0.0,0.0,0.0
11503532922,-0.0,0.0,2.0,0.0,0.0,0.0
11554246270,-0.0,0.0,2.0,0.0,0.0,0.0
11603524451,-0.0,0.0,2.0,0.0,0.0,0.0
11653852280,-0.0,0.0,2.0,0.0,0.0,0.0
11706388775,-0.0,0.0,2.0,0.0,0.0,0.0
11753523106,-0.0,0.0,2.0,0.0,0.0,0.0
11805028008,-0.0,0.0,2.0,0.0,0.0,0.0
11853475320,-0.0,0.0,2.0,0.0,0.0,0.0
11905900241,-0.0,0.0,2.0,0.0,0.0,0.0
11955538718,-0.0,0.0,2.0,0.0,0.0,0.0
12003513993,-0.0,0.0,2.0,0.0,0.0,0.0
12053757878,-0.0,0.0,2.0,0.0,0.0,0.0
12103890948,-0.0,0.0,2.0,0.0,0.0,0.0
12153837332,-0.0,0.0,2.0,0.0,0.0,0.0
12205086883,7.2,0.0,1.0,0.0,0.0,0.0
12256519379,7.2,0.0,1.0,0.0,0.0,0.0
12305937912,7.2,0.0,1.0,0.0,0.0,0.0
12353587724,7.2,0.0,1.0,0.0,0.0,0.0
12403571553,7.2,0.0,1.0,0.0,0.0,0.0
12453865938,7.2,0.0,1.0,0.0,0.0,0.0
12503507360,7.2,0.0,1.0,0.0,0.0,0.0
12554144115,7.2,0.0,1.0,0.0,0.0,0.0
12603585723,7.2,0.0,1.0,0.0,0.0,0.0
12653833626,7.2,0.0,1.0,0.0,0.0,0.0
12703986918,7.2,0.0,1.0,0.0,0.0,0.0
