time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
98938274,0.0,0.0,0.0,0.0,0.0,0.0
148387744,0.0,0.0,0.0,0.0,0.0,0.0
200336456,0.0,0.0,0.0,0.0,0.0,0.0
250062778,0.0,0.0,0.0,0.0,0.0,0.0
298210322,0.0,0.0,0.0,0.0,0.0,0.0
348677311,0.0,0.0,0.0,0.0,0.0,0.0
399008614,0.0,0.0,0.0,0.0,0.0,0.0
448759363,0.0,0.0,0.0,0.0,0.0,0.0
500797370,0.0,0.0,0.0,0.0,0.0,0.0
548216248,0.0,0.0,0.0,0.0,0.0,0.0
600622644,0.0,0.0,0.0,0.0,0.0,0.0
648575744,0.0,0.0,0.0,0.0,0.0,0.0
698261844,0.0,0.0,0.0,0.0,0.0,0.0
751939259,0.0,0.0,0.0,0.0,0.0,0.0
798250285,0.0,0.0,0.0,0.0,0.0,0.0
850328385,0.0,0.0,0.0,0.0,0.0,0.0
898608429,0.0,0.0,0.0,0.0,0.0,0.0
950532270,0.0,0.0,0.0,0.0,0.0,0.0
998381926,0.0,0.0,0.0,0.0,0.0,0.0
1048239211,0.0,0.0,0.0,0.0,0.0,0.0
1100972071,0.0,0.0,0.0,0.0,0.0,0.0
1148256633,0.0,0.0,0.0,0.0,0.0,0.0
1199958197,0.0,0.0,0.0,0.0,0.0,0.0
1248284371,0.0,0.0,0.0,0.0,0.0,0.0
1300038341,0.0,0.0,0.0,0.0,0.0,0.0
1351756942,0.0,0.0,0.0,0.0,0.0,0.0
1398290041,0.0,0.0,0.0,0.0,0.0,0.0
1452629197,0.0,0.0,0.0,0.0,0.0,0.0
1498370667,0.0,0.0,0.0,0.0,0.0,0.0
1550293323,0.0,0.0,0.0,0.0,0.0,0.0
1598255719,0.0,0.0,0.0,0.0,0.0,0.0
1649193986,0.0,0.0,0.0,0.0,0.0,0.0
1700772327,0.0,0.0,0.0,0.0,0.0,0.0
1748842038,0.0,0.0,0.0,0.0,0.0,0.0
1801215639,0.0,0.0,0.0,0.0,0.0,0.0
1848190942,0.0,0.0,0.0,0.0,0.0,0.0
1900741895,0.0,0.0,0.0,0.0,0.0,0.0
1948168106,0.0,0.0,0.0,0.0,0.0,0.0
1998377669,0.0,0.0,0.0,0.0,0.0,0.0
2049271825,0.0,0.0,0.0,0.0,0.0,0.0
2098839906,0.0,0.0,0.0,0.0,0.0,0.0
2149122710,0.0,0.0,0.0,0.0,0.0,0.0
2198733070,0.0,0.0,0.0,0.0,0.0,0.0
2248865114,0.0,0.0,0.0,0.0,0.0,0.0
2302153511,0.0,0.0,0.0,0.0,0.0,0.0
2349645500,0.0,0.0,0.0,0.0,0.0,0.0
2399742526,0.0,0.0,0.0,0.0,0.0,0.0
2454754627,0.0,0.0,0.0,0.0,0.0,0.0
2498758819,0.0,0.0,0.0,0.0,0.0,0.0
2551405938,0.0,0.0,0.0,0.0,0.0,0.0
2599257464,0.0,0.0,0.0,0.0,0.0,0.0
2653842028,0.0,0.0,0.0,0.0,0.0,0.0
2698322072,0.0,0.0,0.0,0.0,0.0,0.0
2750346098,0.0,0.0,0.0,0.0,0.0,0.0
2798695902,0.0,0.0,0.0,0.0,0.0,0.0
2851479725,0.0,0.0,0.0,0.0,0.0,0.0
2898244917,0.0,0.0,0.0,0.0,0.0,0.0
2948443906,0.0,0.0,0.0,0.0,0.0,0.0
3000428692,0.0,0.0,0.0,0.0,0.0,0.0
3048915866,0.0,0.0,0.0,0.0,0.0,0.0
3104695523,0.0,0.0,0.0,0.0,0.0,0.0
3148817937,0.0,0.0,0.0,0.0,0.0,0.0
3204185724,0.0,0.0,0.0,0.0,0.0,0.0
3249366323,0.0,0.0,0.0,0.0,0.0,0.0
3298501701,0.0,0.0,0.0,0.0,0.0,0.0
3348278005,0.0,0.0,0.0,0.0,0.0,0.0
3399920550,0.0,0.0,0.0,0.0,0.0,0.0
3450441836,0.0,0.0,0.0,0.0,0.0,0.0
3498246936,0.0,0.0,0.0,0.0,0.0,0.0
3549294555,0.0,0.0,0.0,0.0,0.0,0.0
3598379507,0.0,0.0,0.0,0.0,0.0,0.0
3651173015,0.0,0.0,0.0,0.0,0.0,0.0
3698263559,0.0,0.0,0.0,0.0,0.0,0.0
3748214715,0.0,0.0,0.0,0.0,0.0,0.0
3800107890,0.0,0.0,0.0,0.0,0.0,0.0
3848223342,0.0,0.0,0.0,0.0,0.0,0.0
3900886091,0.0,0.0,0.0,0.0,0.0,0.0
3948660487,0.0,0.0,0.0,0.0,0.0,0.0
4000783421,0.0,0.0,0.0,0.0,0.0,0.0
4048239910,0.0,0.0,0.0,0.0,0.0,0.0
4098259289,0.0,0.0,0.0,0.0,0.0,0.0
4149097667,0.0,0.0,0.0,0.0,0.0,0.0
4198291100,0.0,0.0,0.0,0.0,0.0,0.0
4248646571,0.0,0.0,0.0,0.0,0.0,0.0
4298336227,0.0,0.0,0.0,0.0,0.0,0.0
4349085846,0.0,0.0,0.0,0.0,0.0,0.0
4401770966,0.0,0.0,0.0,0.0,0.0,0.0
4449000418,0.0,0.0,0.0,0.0,0.0,0.0
4502837352,0.0,0.0,0.0,0.0,0.0,0.0
4548237044,0.0,0.0,0.0,0.0,0.0,0.0
4600631941,0.0,0.0,0.0,0.0,0.0,0.0
4648323245,0.0,0.0,0.0,0.0,0.0,0.0
4699463012,0.0,0.0,0.0,0.0,0.0,0.0
4748860706,0.0,0.0,0.0,0.0,0.0,0.0
4798270454,0.0,0.0,0.0,0.0,0.0,0.0
4849157629,0.0,0.0,0.0,0.0,0.0,0.0
4898237081,0.0,0.0,0.0,0.0,0.0,0.0
4949379200,0.0,0.0,0.0,0.0,0.0,0.0
4998237504,0.0,0.0,0.0,0.0,0.0,0.0
5048797957,0.0,0.0,0.0,0.0,0.0,0.0
5101781336,0.0,0.0,0.0,0.0,0.0,0.0
5149036102,0.0,0.0,0.0,0.0,0.0,0.0
5199464722,0.0,0.0,0.0,0.0,0.0,0.0
5248259100,0.0,0.0,0.0,0.0,0.0,0.0
5299856849,0.0,0.0,0.0,0.0,0.0,0.0
5348393245,0.0,0.0,0.0,0.0,0.0,0.0
5400940772,0.0,0.0,0.0,0.0,0.0,0.0
5448487261,0.0,0.0,0.0,0.0,0.0,0.0
5499391529,0.0,0.0,0.0,0.0,0.0,0.0
5548614240,0.0,0.0,0.0,0.0,0.0,0.0
5598506415,0.0,0.0,0.0,0.0,0.0,0.0
5648607719,0.0,0.0,0.0,0.0,0.0,0.0
5699598357,0.0,0.0,0.0,0.0,0.0,0.0
5750892032,0.0,0.0,0.0,0.0,0.0,0.0
5798357688,0.0,0.0,0.0,0.0,0.0,0.0
5852113104,0.0,0.0,0.0,0.0,0.0,0.0
5899000722,0.0,0.0,0.0,0.0,0.0,0.0
5949357267,0.0,0.0,0.0,0.0,0.0,0.0
5998231886,0.0,0.0,0.0,0.0,0.0,0.0
6049998099,0.0,0.0,0.0,0.0,0.0,0.0
6098276051,0.0,0.0,0.0,0.0,0.0,0.0
6148219151,0.0,0.0,0.0,0.0,0.0,0.0
6200063567,0.0,0.0,0.0,0.0,0.0,0.0
6248401519,0.0,0.0,0.0,0.0,0.0,0.0
6301901843,0.0,0.0,0.0,0.0,0.0,0.0
6348819739,0.0,0.0,0.0,0.0,0.0,0.0
6400010711,0.0,0.0,0.0,0.0,0.0,0.0
6448342978,0.0,0.0,0.0,0.0,0.0,0.0
6498899338,0.0,0.0,0.0,0.0,0.0,0.0
6550465513,0.0,0.0,0.0,0.0,0.0,0.0
6598264520,0.0,0.0,0.0,0.0,0.0,0.0
6649058547,0.0,0.0,0.0,0.0,0.0,0.0
6698932703,0.0,0.0,0.0,0.0,0.0,0.0
6748487786,0.0,0.0,0.0,0.0,0.0,0.0
6798328923,0.0,0.0,0.0,0.0,0.0,0.0
6848399117,0.0,0.0,0.0,0.0,0.0,0.0
6899562088,0.0,0.0,0.0,0.0,0.0,0.0
6948406578,0.0,0.0,0.0,0.0,0.0,0.0
6999270104,0.0,0.0,0.0,0.0,0.0,0.0
7049932335,0.0,0.0,0.0,0.0,0.0,0.0
7100286343,0.0,0.0,0.0,0.0,0.0,0.0
7148226647,0.0,0.0,0.0,0.0,0.0,0.0
7198266341,0.0,0.0,0.0,0.0,0.0,0.0
7249993294,0.0,0.0,0.0,0.0,0.0,0.0
7298228875,0.0,0.0,0.0,0.0,0.0,0.0
7349169291,0.0,0.0,0.0,0.0,0.0,0.0
7398428373,0.0,0.0,0.0,0.0,0.0,0.0
7450332215,0.0,0.0,0.0,0.0,0.0,0.0
7498244667,0.0,0.0,0.0,0.0,0.0,0.0
7549730194,0.0,0.0,0.0,0.0,0.0,0.0
7601908981,0.0,0.0,0.0,0.0,0.0,0.0
7648205340,0.0,0.0,0.0,0.0,0.0,0.0
7699409293,0.0,0.0,0.0,0.0,0.0,0.0
7748361857,0.0,0.0,0.0,0.0,0.0,0.0
7798380606,0.0,0.0,0.0,0.0,0.0,0.0
7851492837,0.0,0.0,0.0,0.0,0.0,0.0
7898543919,0.0,0.0,0.0,0.0,0.0,0.0
7948797872,0.0,0.0,0.0,0.0,0.0,0.0
7998616269,0.0,0.0,0.0,0.0,0.0,0.0
8050372351,0.0,0.0,0.0,0.0,0.0,0.0
8098108563,0.0,0.0,0.0,0.0,0.0,0.0
8148148553,0.0,0.0,0.0,0.0,0.0,0.0
8201682358,0.0,0.0,0.0,0.0,0.0,0.0
8248359551,0.0,0.0,0.0,0.0,0.0,0.0
8300985541,0.0,0.0,0.0,0.0,0.0,0.0
8348278660,0.0,0.0,0.0,0.0,0.0,0.0
8399882446,0.0,0.0,0.0,0.0,0.0,0.0
8465494920,0.0,0.0,0.0,0.0,0.0,0.0
